Country,City,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM_25_AQI_Value,PM_25_AQI_Category,lat,lng
2,294,16,2,0,1,12,1,0,1,16,2,-7.0769,-41.4669
20,295,30,2,1,1,27,1,2,1,30,2,49.2,7.6
5,296,55,1,2,1,26,1,12,1,55,1,40.5024,-79.7495
3,297,46,2,1,1,46,1,0,1,14,2,40.2,16.6667
64,298,48,2,1,1,16,1,0,1,48,2,8.7667,-12.7875
5,299,43,2,1,1,43,1,2,1,39,2,41.695,-73.9211
5,300,52,1,1,1,44,1,4,1,52,1,39.3723,-76.8024
47,301,36,2,0,1,16,1,0,1,36,2,9.9619,98.6389
20,302,39,2,0,1,39,1,0,1,23,2,52.6,12.3333
1,303,58,1,1,1,25,1,9,1,58,1,55.7622,37.8567
5,304,56,1,1,1,21,1,6,1,56,1,32.9716,-96.7093
5,305,76,1,2,1,15,1,17,1,76,1,37.5295,-77.4756
5,305,76,1,2,1,15,1,17,1,76,1,49.1667,-123.1333
5,305,76,1,2,1,15,1,17,1,76,1,37.9477,-122.3389
5,305,76,1,2,1,15,1,17,1,76,1,-41.3333,173.1833
5,305,76,1,2,1,15,1,17,1,76,1,39.8318,-84.8905
5,305,76,1,2,1,15,1,17,1,76,1,37.7307,-84.2925
5,305,76,1,2,1,15,1,17,1,76,1,51.456,-0.301
5,305,76,1,2,1,15,1,17,1,76,1,29.5824,-95.7563
5,305,76,1,2,1,15,1,17,1,76,1,-33.5983,150.7511
5,305,76,1,2,1,15,1,17,1,76,1,-20.7305,143.1425
51,306,25,2,1,1,3,1,0,1,25,2,-6.05,-77.1417
9,307,40,2,1,1,30,1,1,1,40,2,45.8936,3.1125
3,308,47,2,1,1,47,1,2,1,27,2,41.7833,12.7667
9,309,42,2,1,1,31,1,1,1,42,2,44.3506,2.575
18,310,50,2,1,1,23,1,0,1,50,2,12.55,122.28
5,311,62,1,1,1,18,1,13,1,62,1,37.6862,-122.4685
2,312,25,2,0,1,9,1,1,1,25,2,-9.3858,-37.9958
1,313,34,2,1,1,34,1,0,1,10,2,54.15,33.2833
28,314,46,2,1,1,29,1,0,1,46,2,38.3886,35.4925
65,315,39,2,1,1,39,1,0,1,12,2,47.3907,35.0027
66,316,101,5,3,1,18,1,2,1,101,5,6.8167,1.7833
5,317,60,1,1,1,22,1,3,1,60,1,35.8613,-101.9642
5,318,93,1,1,1,24,1,5,1,93,1,36.0465,-89.3777
5,319,28,2,1,1,28,1,8,1,25,2,40.2913,-74.0558
5,320,39,2,1,1,22,1,1,1,39,2,29.2,-96.2723
5,321,44,2,1,1,27,1,10,1,44,2,39.2774,-76.8345
23,322,42,2,1,1,42,1,0,1,12,2,35.4492,137.4128
3,323,62,1,1,1,32,1,4,1,62,1,45.7,9.2167
15,324,35,2,1,1,22,1,6,1,35,2,56.198,-3.178
15,325,27,2,1,1,25,1,3,1,27,2,53.443,-1.949
67,326,19,2,0,1,18,1,0,1,19,2,-22.4333,18.9667
16,327,175,3,1,1,51,2,1,1,175,3,24.782,85.6943
54,328,33,2,1,1,33,1,1,1,28,2,39.52,-0.4114
